max_depth,max_samples,min_samples_leaf,n_estimators,acc_0.40,acc_0.40_std,precision_0.40,precision_0.40_std,recall_0.40,recall_0.40_std,f1_0.40,f1_0.40_std,f0.5_0.40,f0.5_0.40_std,acc_0.50,acc_0.50_std,precision_0.50,precision_0.50_std,recall_0.50,recall_0.50_std,f1_0.50,f1_0.50_std,f0.5_0.50,f0.5_0.50_std,acc_0.60,acc_0.60_std,precision_0.60,precision_0.60_std,recall_0.60,recall_0.60_std,f1_0.60,f1_0.60_std,f0.5_0.60,f0.5_0.60_std,acc_0.75,acc_0.75_std,precision_0.75,precision_0.75_std,recall_0.75,recall_0.75_std,f1_0.75,f1_0.75_std,f0.5_0.75,f0.5_0.75_std
20.0,1.0,4,100,0.7380382175946809,0.02950386795560376,0.6773436398717888,0.028027343324441067,0.9129026960755816,0.01569861265212016,0.7773934788896276,0.02122098442175905,0.7140616669493642,0.02571485712335297,0.7993656697883674,0.019434284719773993,0.8354672863173042,0.027214405868406122,0.7465898233625647,0.028294058395027927,0.7880918754866167,0.021316188151310866,0.8157267210758828,0.02283086755496578,0.7451280095631494,0.020478781558450104,0.9439942962188205,0.017354005444549354,0.5210625389518535,0.03892231148545348,0.6707065570202397,0.03500439962665473,0.8112568603332398,0.02572850937326296,0.5987916338314478,0.017354257744792212,0.9821382319208457,0.0194226115924633,0.20092825949754167,0.03288964856621783,0.3325154549343386,0.04556147014386667,0.5493786451107173,0.05171200196498727
20.0,1.0,4,200,0.7396985938499908,0.02894307223104534,0.6786666164863103,0.02768838751642863,0.9141774493335453,0.01461511060258867,0.7787319864163765,0.020704183970816265,0.715396200477753,0.02532632292293724,0.8013458141554329,0.020424709596092896,0.8393033778367499,0.0270962612848505,0.7462915513193857,0.029991404249923272,0.7896386144040685,0.022810329507504938,0.8185851324852665,0.02342408093431289,0.7452778684368291,0.019849212855709352,0.9445885351506889,0.01533132667775797,0.5210547329845827,0.03869641686552803,0.6708309111192877,0.0342701552859506,0.8115831480601059,0.024248104814517443,0.5976959167730006,0.01631078582776659,0.983614842838936,0.01720698597420541,0.19842516935762475,0.03097531439125436,0.32925420600704114,0.04310140074900236,0.5462294687534621,0.04919239719901514
20.0,1.0,8,10,0.7284327187985692,0.023787870041488565,0.6700114430452672,0.022530899552781765,0.9028324862680037,0.012737174601126828,0.7689987674323779,0.01692004286772923,0.7063523897923663,0.020608003474878546,0.7829893323823665,0.020835941036929092,0.8107514855308804,0.028912926353896536,0.739671007336372,0.030494085462598096,0.7730563609521715,0.022576707558807623,0.7950974701326496,0.024240071507148263,0.7393074165647171,0.01805826557546574,0.9213623508614349,0.01799931844234058,0.5235250904768937,0.03798946867030818,0.6667756001200835,0.03193848574613654,0.7988000955328687,0.0216221228469499,0.6035399593057319,0.014411876986765132,0.9783680771286024,0.016604359292604877,0.21154616790385056,0.02730596395069546,0.3471394575443858,0.03741827546459234,0.565148919036009,0.04178144439506876
20.0,1.0,8,20,0.7323846566564407,0.025288916112603487,0.6723958245223562,0.023953125706215533,0.9092910772985354,0.012023264590631839,0.7728923492324478,0.017833708825136185,0.7092536821563534,0.02190435498379891,0.7933497932406761,0.02153747475472116,0.8249351314812816,0.030636593854546593,0.7462410525202782,0.031544432249996944,0.7830294439520176,0.023295421741756493,0.8074851589281267,0.025403999802206912,0.7418705623873966,0.0180712169394947,0.9350016803906757,0.01421842920095517,0.5199671060969722,0.037251634478717224,0.6674733654177554,0.03198392766852292,0.8053513190259526,0.021317796024102376,0.6006692476874582,0.01587706479552701,0.9817867822568702,0.017820710109146255,0.20493224269946614,0.030360450097635168,0.3381437881824355,0.04166652352378759,0.555764244171183,0.04646872041003233
20.0,1.0,8,50,0.7359693315843249,0.0278786795959556,0.6742828614884303,0.02646454602394583,0.9164800694039421,0.013208325700508396,0.7766857929892566,0.01968265392350855,0.7117835864940074,0.024202012924486913,0.7997932383564121,0.019568933226989032,0.8355137648309224,0.02825318466696227,0.7478670652857468,0.031005711399077148,0.7886885980530043,0.02173707366958016,0.8159704593774922,0.02305657634437978,0.7429353801359965,0.019950770301852414,0.9401536850708518,0.015789224343403154,0.5189258582182722,0.0399964286787031,0.6678316274950141,0.03498397842790567,0.8077948501281405,0.024122931352412426,0.5976228671085325,0.016945853298894583,0.9813403938173224,0.01939631382736735,0.19873399630954722,0.032212603721684115,0.32947329685348015,0.04475480642098137,0.5459143760884473,0.05102676061542848
20.0,1.0,8,100,0.734862058236898,0.028276962019525082,0.673459029096833,0.026719847707950474,0.915502362291947,0.013523098264249286,0.775780640304609,0.019918447388055018,0.7109277241442278,0.024453353601866974,0.799767134273918,0.02056271645618333,0.8354576895161013,0.0272684243446803,0.7476237351030892,0.033359703014503056,0.7885433550659375,0.023541770977493374,0.8158795742289481,0.023250256023316915,0.742724481724632,0.01965386967867844,0.9424078687667983,0.015139789281463305,0.5169984143122619,0.03871155786524733,0.6668824764104014,0.03434836828404036,0.8082804175708583,0.024163850075387957,0.5963351818832001,0.016168520709914997,0.9815356333688026,0.01923329478299598,0.19610205234117056,0.03067545647866914,0.32592612692200074,0.042823601870099655,0.5421483021710873,0.04912689490359
20.0,1.0,8,200,0.7352170423822978,0.027638265557611914,0.6735450094647597,0.026073502053691088,0.9163899299258335,0.014289591202195764,0.7761601915223586,0.01951771156529583,0.7111133927584528,0.023868851785573245,0.7998191444103562,0.019442527971749318,0.8362977574973061,0.02600588786631581,0.7465734230065117,0.03172504882743615,0.7883727224470385,0.02225399388798222,0.816298263438633,0.022036387303979225,0.7434841541690409,0.02025573850404978,0.9453594400321919,0.014519523655516129,0.5167404689450096,0.03950678856280387,0.6673942505186459,0.035245346331947564,0.809874570146461,0.024815519650617117,0.5954772391551266,0.01570276828149786,0.982685049755671,0.01834507314201922,0.19414244405957287,0.02990657724079361,0.32329752286626734,0.041858376146210165,0.539469261322645,0.04817302826641017
40.0,0.5,1,10,0.7305688366121844,0.024554519814473562,0.6842096799617774,0.02398094797964661,0.8584584329597057,0.013931913522048263,0.7613445165760099,0.018792328161226207,0.7130833878867765,0.022119731682089156,0.7663576197492551,0.014547977376669753,0.8074699747912032,0.02386131837239036,0.700470611843498,0.01510446041956465,0.7499379887065679,0.014016939261783858,0.7833623761213687,0.018766275504466905,0.7239719792749467,0.016096823096519136,0.8960837637483445,0.01846058788666442,0.5070974442980926,0.03571230208477779,0.6468035150395564,0.029306151014975544,0.7759238912296349,0.019409129733441693,0.5988286941293965,0.013217346584119802,0.9675753276546537,0.012451544666503651,0.2044815273265504,0.026613878639874904,0.3368244884707107,0.03593927091708663,0.551853101925359,0.03856939728276142
40.0,0.5,1,20,0.7331332935381796,0.025214085862802275,0.6788420961116046,0.023798207890158286,0.887308536562592,0.015798095081249037,0.769013582702285,0.01878506688148691,0.7122182549722419,0.022011227158081254,0.7828966644072847,0.016375506581706844,0.819724471211878,0.023004451536489976,0.7260717728310243,0.022289979476285856,0.7697755147572521,0.017557901106007755,0.7989068611261937,0.019310653549172996,0.7348693201603141,0.016437361349019793,0.916135245538429,0.01713721217498098,0.5173026200863793,0.03478181792732528,0.6604739978205809,0.029092129574109886,0.792893886073754,0.019813776221470437,0.5971050253080962,0.01414999067920393,0.9792742535632872,0.01929256585790986,0.19810542102054213,0.025956605769048804,0.32890920948219315,0.03645129766361188,0.5456530897049078,0.04262103082051551
40.0,0.5,1,50,0.7374235338421323,0.024780406707595914,0.6782202428248321,0.02389498530564656,0.9062889163925265,0.011579322060852807,0.7756335766121424,0.017591720754814674,0.7140614438453553,0.021765891383953056,0.7974674252356589,0.017550960678868344,0.83341050179147,0.02232915747777537,0.7442588262938344,0.02903924653495392,0.7859124804391484,0.020235750975248174,0.8136248136709886,0.019323297867400165,0.7418506990842619,0.019699846900651217,0.9341374164926541,0.01787170977221634,0.5203723542194043,0.038431067378468964,0.6676055695926557,0.03391574061103508,0.8050567077600066,0.024542110109912196,0.5978887253879186,0.015627380788899584,0.9819741837867163,0.01777267629396841,0.19921430135127563,0.02981858568306771,0.33031592445471347,0.04129721379221855,0.5472277180324905,0.046761706102471844
