n_estimators,acc_0.40,acc_0.40_std,precision_0.40,precision_0.40_std,recall_0.40,recall_0.40_std,f1_0.40,f1_0.40_std,f0.5_0.40,f0.5_0.40_std,acc_0.50,acc_0.50_std,precision_0.50,precision_0.50_std,recall_0.50,recall_0.50_std,f1_0.50,f1_0.50_std,f0.5_0.50,f0.5_0.50_std,acc_0.60,acc_0.60_std,precision_0.60,precision_0.60_std,recall_0.60,recall_0.60_std,f1_0.60,f1_0.60_std,f0.5_0.60,f0.5_0.60_std,acc_0.75,acc_0.75_std,precision_0.75,precision_0.75_std,recall_0.75,recall_0.75_std,f1_0.75,f1_0.75_std,f0.5_0.75,f0.5_0.75_std
10,0.7234591493430991,0.02135508077397043,0.6780446395523025,0.020099742003018197,0.8522578210772839,0.019693679079136567,0.7550988321282948,0.01758538903183983,0.7068753387342832,0.0189549539836753,0.7655688845595353,0.01768167200400361,0.8060321643314768,0.019176396065363442,0.6996377049563682,0.028672587729600137,0.7488044117814063,0.021396003760910408,0.7820421633795048,0.01869826976401069,0.7262226068842212,0.01873919442340687,0.894970678114768,0.016018779166093938,0.5125891666416259,0.03845020550062024,0.6510257084263665,0.03295676723277233,0.7778754977915558,0.022906028652276558,0.6029446697562978,0.012809838843500383,0.9660542493097386,0.011818430057636553,0.2132570929181367,0.025218693256805497,0.3487300066862614,0.034059274607937305,0.5644915955377268,0.03695012325796689
20,0.7320106328172538,0.019734948789513946,0.6787769461466941,0.01942992657405251,0.8826247483205515,0.016163813841065668,0.7672189345168682,0.014913433389679412,0.7115595772051926,0.017639085688335904,0.7824196183723056,0.01992208558317615,0.8222248151232261,0.022511618146854526,0.7209124036429317,0.029940985003444758,0.7679613514718283,0.023193965428219308,0.7995434822646947,0.021439522629580366,0.7371087225755935,0.02088983805478537,0.9151102687282979,0.016554973523029638,0.5225243680911672,0.04051162293831318,0.6644089793986422,0.035348554881890364,0.7946723198800807,0.02533991838372686,0.6022345417697329,0.014469940319139589,0.975770165520251,0.015600933181535374,0.20942342792829632,0.02738494708034348,0.34410666102708637,0.03759304270577846,0.5613977986814852,0.042177384109499366
50,0.7362512075029118,0.023649240823463553,0.678331907106019,0.02291961376931499,0.9010568047806908,0.015365394658824878,0.7737851706694836,0.017430290767134777,0.7135075842111422,0.020936909797092066,0.7956492021575122,0.019050946719915862,0.8362125534841441,0.022802683341310814,0.7359023105845225,0.03232050412163491,0.7824166391769642,0.022490075596985837,0.8137037774884563,0.020378859699827057,0.746306312228022,0.022152735301853976,0.9347270837339302,0.014866243528103664,0.5292677869762962,0.04151396599636045,0.675085106422953,0.03657249801481262,0.809691398228189,0.02634819358562263,0.6023997877590321,0.013400718043406524,0.9800497848638446,0.011935291971357311,0.20889071047859073,0.025838674546735812,0.34369728707431657,0.03547932968610932,0.5618740929532953,0.0395321456774655
100,0.7359828594877668,0.025283617947090786,0.6767868963210892,0.02437154564369874,0.9062223375641812,0.01392978520524888,0.7746585432785794,0.018283036859491435,0.712775091293951,0.02226024774911122,0.8023765517523345,0.01966312653130327,0.8428545939205165,0.023125818472757725,0.7438490623199956,0.03163298118050142,0.7898672928835613,0.02288122797647714,0.8207143692053025,0.02100919501731871,0.7459374247879722,0.020256688677898864,0.9409990707729718,0.013897292179438364,0.5244968477320273,0.037505928472828,0.6729342089901299,0.03370803804344434,0.8113199671520581,0.024673146920477434,0.6003873732733067,0.013948825082700277,0.9819812146292801,0.01358257058447049,0.20426109556715627,0.026035054989037278,0.3375279851434473,0.03614777460460654,0.5556210205569279,0.041288898165292964
200,0.7372192286909314,0.026254532386174662,0.676859829676563,0.025203775251926384,0.9108219350426795,0.01393776557072544,0.7763788795711503,0.0190227767812298,0.7134048948454572,0.023079678033751196,0.8029704510563935,0.019259193327852083,0.8431981857959746,0.023849044061082916,0.745048673393556,0.03255115223495019,0.7906169570772743,0.022588695101044786,0.8212117098311863,0.020888195002940122,0.7477860949664819,0.02099126760144207,0.9437590779889575,0.013956341030743726,0.5267083108803171,0.03926211547852296,0.6753862014597389,0.03498641950452273,0.8139363488784515,0.025211829955574968,0.5996521405692466,0.012973419919828458,0.9834510682334983,0.01280450614023308,0.2025030671395271,0.024429910441251198,0.3352612042086419,0.03409004238849641,0.5535151051184382,0.03915824523707616
300,0.7395073162978953,0.027606675564379603,0.6788936456959969,0.026670300680104283,0.9122478490010067,0.01471817891903253,0.7782010288864338,0.019970055928691367,0.7153706573851152,0.024364888529768133,0.8041195627935043,0.019002817628143733,0.8449593678149508,0.024427408632934047,0.7456800227472563,0.03118374674980668,0.791761841709348,0.021887133535133427,0.8227125382197565,0.02098717285433991,0.7473832103571653,0.02072919687120778,0.9439872330685974,0.0146972962718934,0.5256955422287887,0.03818894381649432,0.6746651332131499,0.034341820921357416,0.8136483956223252,0.025241594682419127,0.5999817278681282,0.013446994396880642,0.9830051379373191,0.01394023342150821,0.20324558919879765,0.025241170649417676,0.3362213900343629,0.03521897391865733,0.5544213326775981,0.040514548575244454
400,0.7394989325742515,0.02749292082698118,0.6787050606135872,0.026386368078418543,0.9128007361962782,0.015142692554472566,0.7782883441598487,0.01999432703767487,0.7152761589764987,0.024180464952649472,0.8060457785601821,0.018885814038521322,0.8471524427124744,0.023444765950023268,0.7474899667065996,0.031078613762411063,0.7937748613310467,0.02185988382442381,0.8248380977960057,0.020508056187378717,0.747153666459391,0.020897067529904577,0.9439883131365269,0.014801661977730978,0.5252121513505671,0.0386625295168088,0.6742404918954913,0.03478007761982334,0.8133848894401969,0.025497088892337653,0.6010097905232932,0.014182225002890302,0.9829062543394453,0.015650971425125434,0.2053157855538855,0.02637556321891025,0.3390150291327611,0.036661265770428816,0.5573958081360176,0.04204942453036615
500,0.7393733765865454,0.026632040237348376,0.6788054956723327,0.025985292085195337,0.9119732619420018,0.013437054573121584,0.7780504495270609,0.019109585274708733,0.7152620552870843,0.023630048971442594,0.805719642796326,0.019323996231698594,0.8465697421430679,0.023297011638041345,0.7473567389922694,0.031455197564296926,0.7934612752492584,0.022414380683096053,0.8243761399024976,0.020778911752356206,0.7475146935455355,0.02098541881138284,0.9449463381213425,0.015014239979646253,0.5253600069437729,0.03850511927536293,0.6746254727845534,0.03481330397725184,0.8140457924001993,0.02574322614551333,0.6009703324681561,0.01466374957450773,0.9828708829433014,0.015619415926344969,0.20524097347620388,0.027448768876331776,0.33884566370465263,0.03806040130171661,0.5570948813675585,0.04343258544081421
