max_depth,max_samples,min_samples_leaf,n_estimators,acc_0.50,acc_0.50_std,precision_0.50,precision_0.50_std,recall_0.50,recall_0.50_std,f1_0.50,f1_0.50_std,f0.5_0.50,f0.5_0.50_std,acc_0.60,acc_0.60_std,precision_0.60,precision_0.60_std,recall_0.60,recall_0.60_std,f1_0.60,f1_0.60_std,f0.5_0.60,f0.5_0.60_std,acc_0.75,acc_0.75_std,precision_0.75,precision_0.75_std,recall_0.75,recall_0.75_std,f1_0.75,f1_0.75_std,f0.5_0.75,f0.5_0.75_std
20.0,0.5,8,10,0.7782651904264397,0.02167703181643113,0.8081332093842672,0.027222907526679843,0.7306139744481712,0.03129647002717769,0.7670156508945122,0.024115435859583718,0.791056601090794,0.024223620964890447,0.7331779075247845,0.01801448894439614,0.9194582214390593,0.019140946895603916,0.511057276666713,0.0330009738381458,0.656419060399903,0.029939148885186832,0.7921399562025935,0.023425143732200115,0.5954904549856856,0.01188435566701304,0.9760926487323008,0.014672778559062242,0.19556931928458118,0.02214449307302749,0.32537103561572883,0.03125389141389949,0.5413986959425205,0.03666163420860541
20.0,0.5,8,20,0.7873278803487039,0.020743458652320697,0.8197178705250309,0.026802991976036007,0.7374345834184235,0.028563793038940636,0.7760561871661613,0.022706799813917208,0.8015804053478879,0.02354580453773758,0.7358506459390801,0.01961400889759122,0.9318360864016464,0.018743419906686543,0.5088404421783871,0.036908381828351176,0.6575444769274708,0.0330887752354671,0.7981950600303463,0.024829828761363554,0.5922091697249672,0.014089086594518298,0.9759870839984212,0.019471453617407968,0.18870988116565507,0.02564244792573829,0.31565022233997253,0.03669334445251046,0.530181924060815,0.04425102888686843
20.0,0.5,8,50,0.7909416380166601,0.02072964140751714,0.8265829483683408,0.02654405692793536,0.7370983818880725,0.02991639800967611,0.7789037756107499,0.023165622015540274,0.8067217083787055,0.023417681485482452,0.7350699458463668,0.021336064854751428,0.9390369766129446,0.01775040555235762,0.5024941745172178,0.038839886768400604,0.6539651442846959,0.035959055826684315,0.7992034753620535,0.027442043221038926,0.5900038561482874,0.013442128334239667,0.9812363129368219,0.018506340973006286,0.18322508737449922,0.02472429785357743,0.3081856476287556,0.03565626434427317,0.5225398681471347,0.043392352717161776
20.0,0.5,8,100,0.7944232921825806,0.020968413642369104,0.8319327938047414,0.025705007456524594,0.7385953148128601,0.03314407917080737,0.7820403439689281,0.024166045373115622,0.811103238353105,0.022966008626480208,0.7346441202996279,0.020343645181117236,0.9414274774885317,0.016458172871639667,0.5001858786115629,0.03753827969179616,0.6526031211037611,0.034593637415556315,0.799436444020239,0.02604080214521584,0.5881737998590354,0.013540700733472048,0.9799574234551793,0.017404440128882946,0.17974654403965407,0.025198762957284345,0.3031267184295235,0.03642358300372736,0.516349295554693,0.04439123733607629
20.0,0.5,8,200,0.7962970247100758,0.018714665719545158,0.8345082204407976,0.025495635811298895,0.7400156918838062,0.02808011795794011,0.7840284629582289,0.020872620295453167,0.8134428554395308,0.02160593393624611,0.7343222999093361,0.01991589600435537,0.9416357595968392,0.01590542542135895,0.4993919156646121,0.03702667350537394,0.6519859990091361,0.03398136903598103,0.7991631215363488,0.02539934453639127,0.5874427734252144,0.013158165223730329,0.9808143843945178,0.01757594876151198,0.17811635184070243,0.02442274286925421,0.30087264126056595,0.03534595777769953,0.5139217766408788,0.043142555366551684
20.0,1.0,1,10,0.7726861642119728,0.020193605608652104,0.8009009803033342,0.02670339924074334,0.7269661799107607,0.03186600595081285,0.7616221249535876,0.02246808775712059,0.7845696376601139,0.022674647492134766,0.7353323112299993,0.022106063894450613,0.9108712032289548,0.020718483678914587,0.5216234256984288,0.042480158817271546,0.6624394653287015,0.03738054330321429,0.7915545231643175,0.027615944820816866,0.6053663677690939,0.011187503768115895,0.972380550399893,0.013534837607799109,0.21670810305843555,0.020585488766653434,0.3540466129343498,0.028123584156346814,0.571837206479206,0.031511726995410966
20.0,1.0,1,20,0.788075625328231,0.022372917104312915,0.8242403750356019,0.03109495477317511,0.733468405424419,0.0285181296021079,0.7757912561557417,0.023835021593766475,0.8040348665094047,0.026462949432523215,0.7404542356983742,0.020559938150415076,0.9296431352017642,0.019726901208967026,0.5201798183175933,0.03802910579077152,0.6663816281989474,0.033911132096544255,0.80239591978263,0.025653276338602357,0.6023027827176083,0.013809214519154461,0.9777619089049366,0.014797817755514477,0.20910994278078765,0.02581329394190591,0.34390410481809486,0.03552397553710348,0.5617452292934562,0.040098040173389554
20.0,1.0,1,50,0.7956721938953564,0.02233183889286538,0.8334292426450706,0.028951344469388716,0.7399491081795302,0.03250771943746703,0.7834479369801259,0.024972229087921058,0.8125587252218078,0.025316012406894246,0.7425434275561592,0.020116762243303533,0.9394599796909292,0.01520387847117044,0.5183527175618737,0.038359695403434625,0.667342648828997,0.03430219499507077,0.8072928856148096,0.02464723798213893,0.5975574234701805,0.012802371057636429,0.9815457516190005,0.0156330935401194,0.19859789862561497,0.02360027795459586,0.3298254317589466,0.03328085481143219,0.5472685326827558,0.03910130578308912
20.0,1.0,1,100,0.7991563524483815,0.021618948165881478,0.8398245892435166,0.0264742964852663,0.739890594751717,0.03129394941855121,0.7863283135604275,0.02448608771073692,0.8174695539045091,0.023964002902787218,0.7422749952357138,0.02121573932741202,0.9421811239533188,0.016019838106230467,0.5159659251749094,0.03935978648440174,0.6660574884429524,0.035710476937935526,0.8077541399256154,0.02642198407639824,0.5970719029996333,0.013002075204717297,0.9823183645286189,0.01498438097763611,0.19743651010323188,0.023918615538239908,0.3282478195254616,0.033718526408723706,0.545642549291857,0.03956046402870729
20.0,1.0,1,200,0.7999239267810534,0.02036738837110691,0.8404463713217745,0.025402070998241502,0.7410493891229614,0.03078127989240369,0.7872292865083159,0.023179216169744114,0.8182047947904703,0.022562872171990437,0.7417156780482501,0.020835368211816068,0.9425525602104606,0.016021072301860013,0.5145686609624658,0.038644355740738254,0.6650019918403447,0.03505528970395163,0.8073060638713313,0.025948188423416646,0.5958973990898413,0.013269462719067586,0.9828286080282356,0.0153845750209221,0.19494635974104133,0.02456886019626687,0.32477162340759647,0.03469863260621983,0.5417738313254972,0.0407588148369571
